,NCustomers
0,0
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,4
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,6
149,6
150,6
151,6
152,6
153,6
154,6
155,6
156,7
157,7
158,7
159,7
160,7
161,7
162,7
163,7
164,7
165,7
166,7
167,7
168,7
169,7
170,8
171,8
172,8
173,8
174,8
175,8
176,8
177,7
178,7
179,7
180,7
181,7
182,7
183,7
184,7
185,7
186,7
187,7
188,7
189,7
190,7
191,7
192,7
193,7
194,7
195,7
196,7
197,7
198,6
199,6
200,6
201,6
202,6
203,6
204,7
205,6
206,6
207,6
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,6
221,6
222,6
223,6
224,6
225,6
226,6
227,6
228,6
229,6
230,6
231,6
232,6
233,6
234,6
235,6
236,6
237,6
238,6
239,7
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,7
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,6
265,6
266,6
267,7
268,7
269,7
270,7
271,7
272,7
273,8
274,8
275,8
276,8
277,8
278,8
279,8
280,10
281,11
282,11
283,11
284,11
285,12
286,12
287,12
288,13
289,12
290,12
291,12
292,12
293,12
294,12
295,12
296,12
297,11
298,11
299,11
300,11
301,11
302,11
303,11
304,11
305,10
306,10
307,10
308,10
309,10
310,10
311,10
312,10
313,10
314,10
315,11
316,11
317,11
318,11
319,11
320,12
321,12
322,12
323,13
324,14
325,15
326,16
327,16
328,16
329,17
330,16
331,16
332,16
333,16
334,16
335,16
336,16
337,16
338,16
339,16
340,16
341,16
342,16
343,16
344,17
345,17
346,17
347,17
348,17
349,17
350,17
351,17
352,17
353,17
354,18
355,18
356,18
357,18
358,18
359,18
360,18
361,18
362,18
363,18
364,18
365,17
366,17
367,18
368,18
369,18
370,18
371,18
372,18
373,18
374,18
375,18
376,18
377,18
378,17
379,17
380,17
381,18
382,20
383,20
384,20
385,20
386,20
387,20
388,20
389,19
390,19
391,19
392,20
393,21
394,21
395,21
396,21
397,21
398,21
399,21
400,21
401,21
402,21
403,22
404,22
405,22
406,22
407,22
408,22
409,22
410,22
411,22
412,22
413,22
414,23
415,23
416,23
417,22
418,22
419,21
420,21
421,21
422,21
423,21
424,21
425,21
426,21
427,21
428,21
429,21
430,21
431,21
432,21
433,21
434,21
435,21
436,21
437,22
438,22
439,22
440,21
441,21
442,21
443,22
444,22
445,20
446,20
447,20
448,20
449,21
450,21
451,21
452,21
453,21
454,22
455,22
456,22
457,22
458,22
459,22
460,23
461,23
462,23
463,23
464,23
465,23
466,23
467,23
468,24
469,24
470,24
471,24
472,24
473,24
474,24
475,24
476,24
477,24
478,24
479,24
480,24
481,24
482,24
483,24
484,24
485,24
486,24
487,24
488,24
489,24
490,23
491,21
492,21
493,21
494,21
495,21
496,21
497,21
498,20
499,20
500,20
501,20
502,21
503,21
504,21
505,21
506,21
507,21
508,22
509,22
510,22
511,21
512,21
513,21
514,22
515,22
516,22
517,22
518,22
519,22
520,22
521,22
522,23
523,24
524,23
525,23
526,23
527,23
528,23
529,23
530,23
531,23
