,TotalNeeded
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,5
9,5
10,5
11,5
12,5
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
25,10
26,9
27,9
28,9
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,9
37,9
38,9
39,9
40,9
41,9
42,9
43,9
44,8
45,8
46,8
47,8
48,7
49,7
50,7
51,7
52,7
53,7
54,7
55,7
56,7
57,7
58,11
59,11
60,10
61,10
62,18
63,18
64,18
65,18
66,18
67,18
68,18
69,18
70,18
71,18
72,18
73,17
74,17
75,16
76,16
77,16
78,15
79,15
80,15
81,15
82,15
83,15
84,15
85,14
86,14
87,14
88,13
89,13
90,13
91,13
92,17
93,17
94,17
95,17
96,16
97,15
98,15
99,15
100,15
101,14
102,19
103,19
104,26
105,26
106,26
107,26
108,25
109,25
110,25
111,25
112,25
113,24
114,23
115,23
116,22
117,22
118,22
119,22
120,20
121,19
122,19
123,19
124,19
125,19
126,19
127,19
128,20
129,20
130,19
131,18
132,18
133,18
134,17
135,17
136,17
137,17
138,17
139,17
140,17
141,15
142,15
143,15
144,15
145,14
146,14
147,14
148,14
149,14
150,14
151,14
152,13
153,12
154,12
155,18
156,18
157,18
158,18
159,17
160,17
161,17
162,17
163,15
164,15
165,15
166,14
167,14
168,14
169,14
170,14
171,21
172,26
173,26
174,25
175,25
176,25
177,30
178,30
179,29
180,29
181,29
182,29
183,29
184,29
185,29
186,29
187,29
188,28
189,27
190,26
191,25
192,25
193,25
194,24
195,24
196,24
197,24
198,25
199,23
200,23
201,22
202,22
203,22
204,22
205,22
206,22
207,21
208,21
209,21
210,21
211,19
212,19
213,19
214,19
215,19
216,19
217,19
218,18
219,18
220,18
221,16
222,16
223,16
224,15
225,15
226,15
227,15
228,15
229,15
230,15
231,15
232,23
233,25
234,25
235,24
236,24
237,23
238,23
239,29
240,29
241,29
242,29
243,29
244,28
245,28
246,27
247,27
248,26
249,26
250,26
251,25
252,25
253,25
254,24
255,24
256,24
257,23
258,22
259,22
260,22
261,20
262,19
263,19
264,19
265,18
266,19
267,19
268,18
269,18
270,18
271,17
272,16
273,16
274,16
275,14
276,14
277,13
278,13
279,13
280,12
281,12
282,12
283,12
284,12
285,12
286,21
287,20
288,20
289,27
290,27
291,27
292,27
293,25
294,33
295,33
296,32
297,32
298,32
299,32
300,34
301,33
302,33
303,32
304,39
305,39
306,37
307,37
308,36
309,36
310,35
311,35
312,35
313,35
314,35
315,35
316,35
317,32
318,31
319,31
320,31
321,31
322,30
323,30
324,30
325,30
326,30
327,33
328,31
329,31
330,30
331,30
332,30
333,30
334,30
335,30
336,29
337,29
338,27
339,26
340,25
341,25
342,24
343,24
344,23
345,22
346,22
347,22
348,22
349,22
350,22
351,22
352,22
353,21
354,21
355,20
356,20
357,20
358,20
359,19
360,19
361,18
362,18
363,18
364,18
365,17
366,17
367,17
368,17
369,15
370,14
371,14
372,13
373,20
374,22
375,21
376,21
377,21
378,20
379,19
380,19
381,19
382,18
383,18
384,23
385,23
386,23
387,22
388,21
389,21
390,20
391,19
392,19
393,28
394,28
395,28
396,28
397,28
398,28
399,28
400,29
401,28
402,28
403,28
404,37
405,37
406,37
407,36
408,35
409,35
410,35
411,39
412,39
413,53
414,53
415,52
416,52
417,51
418,51
419,57
420,56
421,56
422,55
423,55
424,55
425,53
426,53
427,52
428,53
429,50
430,50
431,50
432,49
433,49
434,49
435,49
436,56
437,56
438,56
439,55
440,55
441,54
442,62
443,62
444,62
445,62
446,61
447,61
448,61
449,59
450,58
451,58
452,56
453,55
454,55
455,54
456,54
457,54
458,53
459,49
460,56
461,55
462,60
463,59
464,59
465,59
466,59
467,57
468,57
469,57
470,55
471,55
472,51
473,52
474,52
475,51
476,50
477,49
478,48
479,47
480,46
481,45
482,45
483,43
484,49
485,49
486,49
487,48
488,47
489,53
490,52
491,52
492,50
493,48
494,48
495,47
496,45
497,45
498,44
499,49
500,49
501,49
502,48
503,46
504,46
505,46
506,43
507,41
508,41
509,41
510,41
511,40
512,39
513,37
514,35
515,35
516,35
517,35
518,34
519,34
520,36
521,36
522,35
523,37
524,41
525,41
526,41
527,41
528,39
529,38
530,43
531,43
