time_total, time_walking
31, 20
163, 84
104, 83
161, 144
257, 180
188, 119
77, 49
190, 120
171, 131
192, 142
114, 91
70, 41
141, 92
203, 153
152, 123
190, 102
208, 115
111, 69
227, 178
319, 286
234, 155
74, 43
168, 112
133, 107
52, 37
199, 157
151, 94
99, 87
167, 93
216, 158
186, 100
205, 102
186, 118
146, 119
249, 185
83, 51
277, 214
153, 109
242, 170
152, 97
264, 163
267, 177
250, 186
179, 106
228, 143
71, 38
211, 151
149, 118
221, 135
133, 84
177, 128
162, 133
143, 97
142, 67
270, 177
90, 66
260, 170
171, 151
290, 188
222, 159
158, 98
97, 82
261, 185
178, 108
86, 62
204, 139
203, 133
282, 243
206, 169
297, 219
201, 181
74, 39
332, 277
204, 132
162, 91
230, 161
214, 156
84, 71
98, 74
280, 191
293, 208
74, 50
169, 136
245, 174
199, 126
175, 159
44, 25
226, 176
312, 230
211, 160
97, 82
215, 156
